"","dataa.id","Category","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1","17A","small",62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
"2","24P","small",40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407,40.7407407407407
"3","09Q","large",93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75
"4","65Y","small",59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375,59.375
"5","19N","small",31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815,31.4814814814815
"6","92K","large",103.125,103.125,103.125,103.125,103.125,103.125,103.125,103.125,103.125,103.125
"7","33W","small",75,75,75,75,75,75,75,75,75,75
"8","98C","large",59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593,59.2592592592593
"9","75G","small",62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
"10","88Q","large",84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375
